uid,subj_id,utterance,pa_step,bt_step,block,buttonOrder,buttonPosition,contour,countDelay,countUp,forcedChoiceRT,presentationOrder,response,response_binary,start,end,erb_diff,st_diff,start_erb,end_erb,start_erb_centered,end_erb_centered,lowtarget,tcog_t_raw,tcog_f_raw,tcog_t_centered,tcog_f_centered,tcog_t_semitone,tcog_f_semitone,st_tcog,global_pattern,duration,age,gender,born_in_us,time_in_us,has_music_training,music_details,speaks_other_lang,other_lang_details,age_learned_english,aq_comm,aq_social,loneliness_score,logrt
33,55bb9ae7fdf99b26d27fda01,branning,1,3,2,at,right,1_3,3667,16,513,33,telling,1,120,102.02442198493041,-0.46115245170755514,6.52185251905055,2.193323579779914,3.068323579779914,-0.5548809991260342,0.32011900087396583,102.02442198493041,0.5015876411202588,105.50848495222635,0.4867418794557124,15.508484952226349,0.4900547250455785,2.740137896189525,2.752345416352269,falling,128,36,Female,Yes,NA,No,NA,No,NA,1,6,8,35,6.240275845170769
34,55bb9ae7fdf99b26d27fda01,bronville,4,1,2,at,right,4_1,4387,54,339,34,telling,1,120,61.325523908511215,-1.5861524517075551,-8.465285292009813,3.0151029340302955,1.9433235797799142,0.2668983551243471,-0.8048809991260342,61.325523908511215,0.5262215573259379,74.71217023131385,0.6087010588339892,-15.287829768686153,0.6210019160689177,-3.624871356314578,-3.2229807794891796,falling,128,36,Female,Yes,NA,No,NA,No,NA,1,6,8,35,5.82600010738045
35,55bb9ae7fdf99b26d27fda01,greenview,4,4,2,at,right,4_4,3570,58,550,35,telling,1,120,124.05699442806409,0.10134754829244486,3.7320369332562473,3.0151029340302955,3.630823579779914,0.2668983551243471,0.8826190008739658,NA,0.5617460018541042,111.46205540867886,0.5906763484078996,21.462055408678875,0.5585112261491578,3.4649150180636847,3.7026690737006422,rising,128,36,Female,Yes,NA,No,NA,No,NA,1,6,8,35,6.309918278226516
36,55bb9ae7fdf99b26d27fda01,branning,1,1,2,at,right,1_1,3343,36,2343,36,telling,1,120,61.325523908511215,-1.5861524517075551,-2.2904072180527137,2.193323579779914,1.9433235797799142,-0.5548809991260342,-0.8048809991260342,61.325523908511215,0.4428063558431985,75.61773930757151,0.5919456395396432,-14.382260692428483,0.624826645475221,-3.5736899074272794,-3.014403393008469,falling,128,36,Female,Yes,NA,No,NA,No,NA,1,6,8,35,7.759187438507795
37,55bb9ae7fdf99b26d27fda01,grandma,2,5,2,at,right,2_5,3963,70,646,37,telling,1,120,147.29848706238238,0.6638475482924449,10.568048484900695,2.4743972504579332,4.193323579779914,-0.27380732844801514,1.4451190008739658,NA,0.5873555810184762,127.1295033905974,0.6708453435210806,37.129503390597414,0.6495657267929424,5.8364400403639625,5.979623687427157,rising,128,36,Female,Yes,NA,No,NA,No,NA,1,6,8,35,6.470799503782602
38,55bb9ae7fdf99b26d27fda01,broadway,4,3,2,at,right,4_3,3109,50,1084,38,telling,1,120,102.02442198493041,-0.46115245170755514,0.34697444509345005,3.0151029340302955,3.068323579779914,0.2668983551243471,0.32011900087396583,102.02442198493041,0.5778998701936424,99.15243990754617,0.5172587674958536,9.152439907546162,0.5010523173587998,1.5965737979401282,1.6766792732257563,falling,128,36,Female,Yes,NA,No,NA,No,NA,1,6,8,35,6.988413181999592
39,55bb9ae7fdf99b26d27fda01,greenview,3,5,2,at,left,3_5,3476,8,626,39,asking,0,120,147.29848706238238,0.6638475482924449,8.528948467592945,2.7482045789059484,4.193323579779914,0,1.4451190008739658,NA,0.5891400469894587,123.75619424241283,0.6610811630448206,33.75619424241283,0.6306739667275301,5.262978903292287,5.514045962233264,rising,128,36,Female,Yes,NA,No,NA,No,NA,1,6,8,35,6.439350371100098
40,55bb9ae7fdf99b26d27fda01,bronville,1,5,2,at,right,1_5,3366,22,593,40,telling,1,120,147.29848706238238,0.6638475482924449,12.879789420209447,2.193323579779914,4.193323579779914,-0.5548809991260342,1.4451190008739658,NA,0.629775863569449,131.4914024159623,0.6821272359680444,41.49140241596231,0.669613210873665,6.566407627518507,6.563658782713094,rising,128,36,Female,Yes,NA,No,NA,No,NA,1,6,8,35,6.385194398997726
41,55bb9ae7fdf99b26d27fda01,broadway,3,1,2,at,right,3_1,3520,76,1099,41,telling,1,120,61.325523908511215,-1.5861524517075551,-6.641248170669213,2.7482045789059484,1.9433235797799142,0,-0.8048809991260342,61.325523908511215,0.5254074003706183,74.14686785861451,0.6060383863388522,-15.853132141385487,0.6212889412510202,-3.8006675664095506,-3.3544710044530577,falling,128,36,Female,Yes,NA,No,NA,No,NA,1,6,8,35,7.002155954403621
42,55bb9ae7fdf99b26d27fda01,branning,5,1,2,at,right,5_1,4257,48,340,42,telling,1,120,61.325523908511215,-1.5861524517075551,-10.115327577009031,3.2754239691411797,1.9433235797799142,0.5272193902352313,-0.8048809991260342,61.325523908511215,0.48066484795022246,73.01392450808878,0.5620136154630035,-16.986075491911226,0.5727112147316787,-4.055119295551408,-3.62104049272647,falling,128,36,Female,Yes,NA,No,NA,No,NA,1,6,8,35,5.8289456176102075
43,55bb9ae7fdf99b26d27fda01,greenview,3,3,2,at,right,3_3,3845,70,719,43,telling,1,120,102.02442198493041,-0.46115245170755514,2.171011566434052,2.7482045789059484,3.068323579779914,0,0.32011900087396583,102.02442198493041,0.5549681140654646,101.95306393441854,0.5071037300305672,11.95306393441855,0.48986581803084045,2.086298932904201,2.158898710821185,falling,128,36,Female,Yes,NA,No,NA,No,NA,1,6,8,35,6.577861357721047
44,55bb9ae7fdf99b26d27fda01,grandma,3,2,2,at,right,3_2,4839,26,77,44,telling,1,120,81.1346582583131,-1.0236524517075551,-1.7952801587163143,2.7482045789059484,2.505823579779914,0,-0.24238099912603417,81.1346582583131,0.5379803626877259,88.89817234338929,0.4793111092723111,-1.1018276566107192,0.47063764190836155,-0.3477378582801958,-0.2132549092185883,falling,128,36,Female,Yes,NA,No,NA,No,NA,1,6,8,35,4.343805421853684
45,55bb9ae7fdf99b26d27fda01,bronville,3,4,2,at,right,3_4,3301,70,456,45,telling,1,120,124.05699442806409,0.10134754829244486,5.556074054596848,2.7482045789059484,3.630823579779914,0,0.8826190008739658,NA,0.5519781898282355,116.29508229665106,0.5947738345291482,26.295082296651053,0.5719769022047221,4.375785940711131,4.437518221553519,rising,128,36,Female,Yes,NA,No,NA,No,NA,1,6,8,35,6.1224928095143865
46,55bb9ae7fdf99b26d27fda01,broadway,2,1,2,at,right,2_1,4267,78,271,46,telling,1,120,61.325523908511215,-1.5861524517075551,-4.602148153361464,2.4743972504579332,1.9433235797799142,-0.27380732844801514,-0.8048809991260342,61.325523908511215,0.42576577858856796,70.04012715983966,0.5504341743542,-19.95987284016034,0.5841311618905441,-4.685326068967796,-4.340919580975822,falling,128,36,Female,Yes,NA,No,NA,No,NA,1,6,8,35,5.602118820879701
47,55bb9ae7fdf99b26d27fda01,grandma,5,2,2,at,right,5_2,3480,26,197,47,telling,1,120,81.1346582583131,-1.0236524517075551,-5.269359565056132,3.2754239691411797,2.505823579779914,0.5272193902352313,-0.24238099912603417,81.1346582583131,0.5480338030135755,84.85029760688478,0.47158001301533575,-5.149702393115224,0.46035380254700653,-1.1438510640296864,-1.0200633780808634,falling,128,36,Female,Yes,NA,No,NA,No,NA,1,6,8,35,5.2832037287379885
48,55bb9ae7fdf99b26d27fda01,bronville,5,4,2,at,right,5_4,4580,8,446,48,telling,1,120,124.05699442806409,0.10134754829244486,2.0819946482570297,3.2754239691411797,3.630823579779914,0.5272193902352313,0.8826190008739658,NA,0.6015237097339753,108.19775250233428,0.6205199187962842,18.197752502334282,0.5922580998276538,2.9066604081046634,3.1880835008833803,rising,128,36,Female,Yes,NA,No,NA,No,NA,1,6,8,35,6.100318952020064
49,55bb9ae7fdf99b26d27fda01,greenview,1,2,2,at,right,1_2,3232,70,390,49,telling,1,120,81.1346582583131,-1.0236524517075551,2.5555607939001854,2.193323579779914,2.505823579779914,-0.5548809991260342,-0.24238099912603417,81.1346582583131,0.49053035508849196,91.04886102078247,0.4498519435761477,1.048861020782467,0.45026046356381044,0.03912253114753332,0.20059162108511258,falling,128,36,Female,Yes,NA,No,NA,No,NA,1,6,8,35,5.966146739123692
50,55bb9ae7fdf99b26d27fda01,branning,2,4,2,at,right,2_4,4488,18,1361,50,telling,1,120,124.05699442806409,0.10134754829244486,7.595174071904597,2.4743972504579332,3.630823579779914,-0.27380732844801514,0.8826190008739658,NA,0.5390801138972925,118.86452130167899,0.5997862438552899,28.86452130167899,0.5850734254774178,4.7766844816897915,4.815855083651157,rising,128,36,Female,Yes,NA,No,NA,No,NA,1,6,8,35,7.215975002651466
