uid,subj_id,utterance,pa_step,bt_step,block,buttonOrder,buttonPosition,contour,countDelay,countUp,forcedChoiceRT,presentationOrder,response,response_binary,start,end,erb_diff,st_diff,start_erb,end_erb,start_erb_centered,end_erb_centered,tcog_t_raw,tcog_f_raw,tcog_t_centered,tcog_f_centered,tcog_t_semitone,tcog_f_semitone,st_tcog,global_pattern,duration,age,gender,born_in_us,time_in_us,has_music_training,music_details,speaks_other_lang,other_lang_details,age_learned_english,aq_comm,aq_social,loneliness_score,logrt
26,56ee27ad65ca4d000cc39dd3,broadway,3,4,2,ta,right,3_4,4223,42,331,26,asking,0,90,124.05699442806409,0.8826190008739658,5.556074054596848,2.7482045789059484,3.630823579779914,0,0.8826190008739658,0.5284290346986892,103.81640893719097,0.836409087994279,13.81640893719096,0.8216665591173017,2.430562587406429,2.4724510030729046,rising,157,37,Female,Yes,NA,Yes,"Clarinet, 1 year",No,NA,1,3,4,30,5.802118375377063
27,56ee27ad65ca4d000cc39dd3,bronville,5,5,2,ta,right,5_5,3471,6,346,27,asking,0,110,147.29848706238238,0.9178996106387345,5.054869061253128,3.2754239691411797,4.193323579779914,0.5272193902352313,1.4451190008739658,0.5776788753621129,122.45750839204635,0.7023386511023874,32.45750839204634,0.6852597165785563,5.272284429581668,5.331411934129058,rising,157,37,Female,Yes,NA,Yes,"Clarinet, 1 year",No,NA,1,3,4,30,5.846438775057725
28,56ee27ad65ca4d000cc39dd3,greenview,5,1,2,ta,left,5_1,3326,32,641,28,telling,1,110,61.325523908511215,-1.3321003893612655,-10.115327577009031,3.2754239691411797,1.9433235797799142,0.5272193902352313,-0.8048809991260342,0.45011683380254985,77.85980477421927,0.6377334786572102,-12.140195225780737,0.6628084392907978,-3.024696549360304,-2.508555290017139,falling,157,37,Female,Yes,NA,Yes,"Clarinet, 1 year",No,NA,1,3,4,30,6.46302945692067
29,56ee27ad65ca4d000cc39dd3,grandma,4,1,2,ta,left,4_1,4365,24,1102,29,telling,1,100,61.325523908511215,-1.0717793542503813,-8.465285292009813,3.0151029340302955,1.9433235797799142,0.2668983551243471,-0.8048809991260342,0.4785172010738039,75.29577850823723,0.7217620844850186,-14.704221491762771,0.7359991768118177,-3.4528926922646614,-3.0882722355064893,falling,157,37,Female,Yes,NA,Yes,"Clarinet, 1 year",No,NA,1,3,4,30,7.004881989712859
30,56ee27ad65ca4d000cc39dd3,branning,3,3,2,ta,left,3_3,3427,50,682,30,telling,1,90,102.02442198493041,0.32011900087396583,2.171011566434052,2.7482045789059484,3.068323579779914,0,0.32011900087396583,0.51042308925423,94.7954042736505,0.8341900206405082,4.795404273650509,0.8266266278866998,0.9009858857743593,0.8987054020063756,rising,157,37,Female,Yes,NA,Yes,"Clarinet, 1 year",No,NA,1,3,4,30,6.525029657843462
31,56ee27ad65ca4d000cc39dd3,greenview,2,5,2,ta,right,2_5,4890,48,638,31,asking,0,80,147.29848706238238,1.718926329321981,10.568048484900695,2.4743972504579332,4.193323579779914,-0.27380732844801514,1.4451190008739658,0.5699877423788243,106.16585961921879,0.753792212182654,16.165859619218807,0.7322700591436047,2.5293278488863766,2.8598759786981454,rising,157,37,Female,Yes,NA,Yes,"Clarinet, 1 year",No,NA,1,3,4,30,6.45833828334479
32,56ee27ad65ca4d000cc39dd3,broadway,2,1,2,ta,left,2_1,4927,4,378,32,telling,1,80,61.325523908511215,-0.531073670678019,-4.602148153361464,2.4743972504579332,1.9433235797799142,-0.27380732844801514,-0.8048809991260342,0.4605841676211941,68.01358849204726,0.6800222341439103,-21.98641150795274,0.6957883192474087,-4.93404796623075,-4.849223868315937,falling,157,37,Female,Yes,NA,Yes,"Clarinet, 1 year",No,NA,1,3,4,30,5.934894195619588
33,56ee27ad65ca4d000cc39dd3,branning,1,3,2,ta,right,1_3,3596,38,1800,33,asking,0,70,102.02442198493041,0.875,6.52185251905055,2.193323579779914,3.068323579779914,-0.5548809991260342,0.32011900087396583,0.515557431347327,83.98842868444082,0.4582219887364602,-6.011571315559181,0.4555548594176288,-1.286557666028541,-1.1968130868255031,rising,157,37,Female,Yes,NA,Yes,"Clarinet, 1 year",No,NA,1,3,4,30,7.495541943884256
34,56ee27ad65ca4d000cc39dd3,grandma,1,2,2,ta,left,1_2,3939,80,858,34,telling,1,70,81.1346582583131,0.3125,2.5555607939001854,2.193323579779914,2.505823579779914,-0.5548809991260342,-0.24238099912603417,0.5270953481059119,75.78600384181385,0.5669924010863685,-14.213996158186143,0.5684652898275611,-2.953954260585992,-2.97592278416692,rising,157,37,Female,Yes,NA,Yes,"Clarinet, 1 year",No,NA,1,3,4,30,6.754604099487962
35,56ee27ad65ca4d000cc39dd3,bronville,1,4,2,ta,right,1_4,3483,40,7131,35,asking,0,70,124.05699442806409,1.4375,9.906915007213346,2.193323579779914,3.630823579779914,-0.5548809991260342,0.8826190008739658,0.567119819535269,92.10533228908085,0.6017823753737002,2.105332289080851,0.5864462443878428,0.18894908426498574,0.4003161574265912,rising,157,37,Female,Yes,NA,Yes,"Clarinet, 1 year",No,NA,1,3,4,30,8.872206756028303
